neuron_index,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,
1,32856,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,12,8,8,3,7,9,4,8,8,4,9,9,2,5,5,6,7,6,10,6,7,4,6,10,8,
3,0,23,2,2,4,4,4,6,8,8,6,6,8,4,7,2,4,9,5,4,7,11,9,3,5,16,
4,0,4,8,2,10,3,10,6,11,6,4,11,8,11,4,7,4,7,7,5,8,9,11,2,9,4,
5,0,12,4,7,10,5,5,2,3,8,6,5,12,11,8,8,6,3,10,8,8,7,7,8,7,7,
6,0,12,9,5,9,4,4,8,7,8,4,2,11,8,4,7,4,6,9,5,5,3,6,5,8,13,
7,0,4,10,6,6,5,1,7,5,5,8,7,3,5,4,10,5,4,14,3,9,7,10,5,9,13,
8,0,8,11,4,5,10,7,3,8,13,14,6,1,7,8,3,8,6,3,4,6,6,7,12,4,6,
9,0,10,4,5,5,9,8,11,10,4,8,6,8,11,5,6,6,5,1,10,8,6,3,6,4,10,
10,0,10,6,8,6,6,8,5,4,9,6,5,6,6,4,5,7,7,4,12,7,2,8,5,4,23,
11,0,12,8,8,11,10,8,6,3,5,7,7,4,5,10,4,5,2,10,4,3,6,7,7,9,8,
12,0,3,3,10,8,5,4,11,6,8,5,9,4,6,4,15,4,6,6,6,7,9,5,6,6,9,
13,0,11,9,8,5,5,3,8,3,4,4,4,3,5,6,4,8,12,9,7,6,7,7,10,7,15,
14,0,14,6,8,8,9,6,5,7,8,6,5,8,5,6,5,7,8,2,4,4,5,1,10,9,9,
15,0,12,5,9,2,6,6,5,4,7,10,9,3,5,8,8,7,4,9,7,8,3,3,7,5,15,
16,0,6,3,4,8,5,6,9,7,5,4,8,8,10,8,4,9,6,10,5,6,3,10,12,9,7,
17,0,8,8,11,6,7,6,3,11,2,2,6,1,16,5,8,9,9,4,6,7,7,7,5,10,6,
18,0,14,7,5,5,6,9,10,7,10,5,5,8,3,4,6,5,7,8,7,7,8,5,4,4,8,
19,0,4,6,5,6,6,6,7,7,5,7,7,5,4,5,8,8,7,7,12,9,13,2,6,4,6,
20,0,9,5,9,5,5,7,7,3,9,9,6,6,2,7,12,6,5,2,6,5,6,10,8,5,9,
21,0,9,10,6,7,7,0,6,5,6,7,8,9,7,11,3,8,7,9,6,8,8,8,11,1,5,
22,0,6,9,8,8,4,5,3,8,4,9,4,7,6,12,8,11,12,5,3,7,7,5,6,4,4,
23,0,5,9,5,7,11,6,11,2,7,9,5,10,5,7,9,6,4,6,10,6,3,8,3,4,9,
24,0,6,8,6,5,6,7,4,11,3,2,9,7,6,9,7,8,7,8,4,8,4,12,6,6,4,
25,0,5,4,5,9,3,14,4,8,7,6,6,8,4,8,3,13,5,3,9,3,10,10,5,11,7,
26,0,7,2,8,7,12,9,9,5,3,10,4,10,9,4,6,4,7,8,6,5,8,5,5,9,5,
