time,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,neuron_30,neuron_31,neuron_32,neuron_33,neuron_34,neuron_35,neuron_36,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.4e-07,0,0,0,0,0,0,0,0.03451,0.01713,0.02018,0.02631,0.02374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03451,0.01713,0.02018,0.02631,0.02374,
2.014e-05,0.12,0,0,0.04,0,0,0,0.09451,0.15426,0.08018,0.02631,0.16748,0,0,0,0,0,0,0.1,0.06,0.06,0.06,0.06,0,0,0.06,0.12,0,0.12,0.06,0.04,0.09451,0.15426,0.08018,0.02631,0.04748,
4.014e-05,0.12,0.04,0.1,0.14,0,0,0,0.12902,0.17139,0.10036,0.05262,0.31122,0.04,0,0,0.06,0.06,0.06,0.2,0,0.06,0,0,0,0.1,0.06,0.12,0,0.12,0.06,0,0.12902,0.17139,0.02018,0.05262,0.02374,
6.014e-05,0.24,0.04,0,0.12,0.04,0,0.1,0.16353,0.18852,0.24054,0.02631,0.45496,0,0.12,0.12,0.18,0.06,0,0.3,0.12,0.06,0.12,0,0.06,0.2,0.06,0.24,0,0,0.06,0,0.04353,0.18852,0.08018,0.08631,0.02374,
8.014e-05,0.36,0.02,0,0.1,0,0.1,0.08,0.19804,0.20565,0.14072,0.08631,0.5987,0.04,0.12,0.24,0.06,0,0.06,0.28,0.24,0.06,0,0,0.06,0.06,0.06,0.12,0.06,0,0,0,0.07804,0.08565,0.02018,0.02631,0.04748,
0.00010014,0.48,0,0,0.08,0,0,0.18,0.23255,0.22278,0.1609,0.02631,0.62244,0,0,0.36,0.06,0.12,0.06,0.26,0.36,0.18,0.06,0.12,0.18,0.04,0.06,0.12,0.06,0.06,0.12,0,0.03451,0.10278,0.16036,0.05262,0.19122,
0.00012014,0.48,0,0.04,0.06,0.04,0,0.28,0.26706,0.11991,0.18108,0.02631,0.64618,0,0.06,0.36,0.06,0.24,0.06,0.24,0.48,0.3,0.06,0.12,0.18,0.04,0.06,0.12,0.06,0.06,0.12,0.1,0.03451,0.23991,0.18054,0.02631,0.09496,
0.00014014,0.48,0,0,0.04,0,0,0.14,0.18157,0.13704,0.08126,0.17262,0.54992,0,0,0.24,0.06,0.24,0.18,0.22,0.48,0.3,0.18,0,0.06,0,0.06,0.12,0.06,0.06,0,0,0.18902,0.25704,0.20072,0.08631,0.02374,
0.00016014,0.48,0,0.1,0,0,0.1,0.24,0.21608,0.27417,0.10144,0.31893,0.69366,0.1,0,0.24,0.18,0.12,0.3,0.2,0.6,0.3,0.3,0.06,0.06,0.1,0.18,0,0.18,0.06,0.12,0.1,0.22353,0.27417,0.1009,0.11262,0.16748,
