time,neuron_index
1.4e-07,0,1
2.014e-05,0,1
4.014e-05,0,1
6.014e-05,0,1
8.014e-05,0,1
0.00010014,0,1
0.00012014,0,1
0.00014014,0,1
0.00016014,0,1
0.00018014,0,1
0.00020014,0,1
0.00021014,1,12
0.00022014,0,1
0.00024014,0,1
0.00026014,0,1
0.00028014,0,1
0.00030014,0,1
0.00032014,0,1
0.00034014,0,1
0.00036014,0,1
0.00036014,1,32
0.00038014,0,1
0.00040014,0,1
0.00042014,0,1
0.00044014,0,1
0.00046014,0,1
0.00048014,0,1
0.00048014,1,18
0.00050014,0,1
0.00052014,0,1
0.00052014,1,9
0.00054014,0,1
0.00056014,0,1
0.00058014,0,1
0.00060014,0,1
0.00060014,1,34
0.00062014,0,1
0.00064014,0,1
0.00065014,1,17
0.00066014,0,1
0.00068014,0,1
0.00069014,1,8
0.00070014,0,1
0.00072014,0,1
0.00074014,0,1
0.00076014,0,1
0.00076014,1,28
0.00078014,0,1
0.00080014,0,1
0.00080014,1,26
0.00081014,1,33
0.00082014,0,1
0.00084014,0,1
0.00085014,1,11
0.00086014,0,1
0.00088014,0,1
0.00088014,1,36
0.00090014,0,1
0.00092014,0,1
0.00094014,0,1
0.00096014,0,1
0.00098014,0,1
0.00100014,0,1
0.00102014,0,1
0.00104014,0,1
0.00106014,0,1
0.00108014,0,1
0.00110014,0,1
0.00112014,0,1
0.00114014,0,1
0.00116014,0,1
0.00117014,1,35
0.00118014,0,1
0.00120014,0,1
0.00122014,0,1
0.00124014,0,1
0.00126014,0,1
0.00128014,0,1
0.00130014,0,1
0.00132014,0,1
0.00134014,0,1
0.00136014,0,1
0.00138014,0,1
0.00140014,0,1
0.00142014,0,1
0.00144014,0,1
0.00146014,0,1
0.00148014,0,1
0.00150014,0,1
0.00152014,0,1
0.00154014,0,1
0.00156014,0,1
0.00158014,0,1
0.00158014,1,22
0.00160014,0,1
0.00162014,0,1
0.00164014,0,1
0.00165014,1,20
0.00166014,0,1
0.00166014,1,29
0.00168014,0,1
0.00170014,0,1
0.00172014,0,1
0.00174014,0,1
0.00176014,0,1
0.00178014,0,1
0.00180014,0,1
0.00182014,0,1
0.00184014,0,1
0.00184028,1,10
0.00186014,0,1
0.00188014,0,1
0.00190014,0,1
0.00192014,0,1
0.00194014,0,1
0.00196014,0,1
0.00198014,0,1
0.00200014,0,1
0.00202014,0,1
0.00204014,0,1
0.00206014,0,1
0.00208014,0,1
0.00210014,0,1
0.00212014,0,1
0.00214014,0,1
0.00216014,0,1
0.00218014,0,1
0.00218014,1,1
0.00220014,0,1
0.00222014,0,1
0.00224014,0,1
0.00226014,0,1
0.00228014,0,1
0.00230014,0,1
0.00232014,0,1
0.00234014,0,1
0.00236014,0,1
0.00238014,0,1
0.00240014,0,1
0.00242014,0,1
0.00244014,0,1
0.00246014,0,1
0.00248014,0,1
0.00250014,0,1
0.00252014,0,1
0.00254014,0,1
0.00255014,1,30
0.00256014,0,1
0.00258014,0,1
0.00258014,1,21
0.00260014,0,1
0.00262014,0,1
0.00264014,0,1
0.00266014,0,1
0.00268014,0,1
0.00270014,0,1
0.00272014,0,1
