time,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20,step_21,step_22,step_23,step_24,step_25,step_26,
9,1,23,11,13,0,0,26,8,6,21,18,0,16,4,0,0,0,0,5,0,20,15,25,9,17,10,
9.00003,1,23,11,13,0,0,26,8,6,21,18,0,16,4,0,0,0,0,5,0,20,15,25,9,17,10,
9.00004,0,23,11,13,0,0,26,8,6,21,18,0,16,4,0,0,0,24,5,0,20,15,25,9,17,10,
9.00005,0,23,11,13,0,0,26,8,6,21,18,0,16,4,0,14,0,24,5,0,20,15,25,9,17,10,
9.00006,1,23,11,13,0,0,26,8,6,21,18,0,16,4,0,14,0,24,5,0,20,15,25,9,17,10,
9.00009,1,0,11,13,0,0,26,8,6,21,18,0,16,4,0,14,0,24,5,0,20,15,25,9,17,10,
9.00012,1,0,11,13,0,0,26,8,6,21,18,0,16,4,0,14,0,24,5,0,20,15,25,9,17,10,
9.00015,1,0,11,13,0,0,26,8,6,21,18,0,16,4,0,14,0,24,5,0,20,15,25,9,17,10,
9.00018,1,0,11,13,0,0,26,8,6,21,18,0,16,4,0,14,0,24,5,0,20,15,25,9,17,10,
9.00021,1,0,11,13,0,0,26,8,6,21,18,0,16,4,0,14,0,24,5,0,20,15,25,9,17,10,
9.00024,1,0,11,13,0,0,26,8,6,21,18,0,16,4,0,14,0,24,5,0,20,15,25,9,17,10,
9.00027,1,0,11,13,0,0,26,8,6,21,18,0,16,4,0,14,0,24,5,0,20,15,25,9,17,10,
9.0003,1,0,11,13,0,0,26,8,6,21,18,0,16,4,0,14,0,24,5,0,20,15,25,9,17,10,
9.00033,1,0,11,13,0,0,26,8,6,21,18,0,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00036,1,0,11,13,0,0,26,8,6,21,18,0,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00039,1,0,11,13,0,0,26,8,6,21,18,0,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00042,1,0,11,13,0,0,26,8,6,21,18,0,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00045,1,0,11,13,0,0,26,8,6,21,18,0,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00046,0,19,11,13,0,0,26,8,6,21,18,12,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00046,0,19,11,13,0,0,26,8,6,21,18,12,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00048,1,19,11,13,0,0,26,8,6,21,18,12,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00051,1,19,11,13,0,0,26,8,6,21,18,12,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00054,1,19,11,13,0,0,26,8,6,21,18,12,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00057,1,19,11,13,0,0,26,8,6,21,18,12,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.0006,1,19,11,13,0,0,26,8,6,21,18,12,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00063,1,19,11,13,0,0,26,8,6,21,18,12,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00066,1,19,11,13,0,0,26,8,6,21,18,12,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00069,1,19,11,13,0,0,26,8,6,21,18,12,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00072,1,19,11,13,0,0,26,8,6,21,18,12,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00075,1,19,11,13,0,0,26,8,6,21,18,12,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00078,1,19,11,13,0,0,26,8,6,21,18,12,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00081,1,19,11,13,0,0,26,8,6,21,18,12,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00084,1,19,11,13,0,0,26,8,6,21,18,12,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00087,1,19,11,13,0,0,26,8,6,21,18,12,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.0009,1,19,0,13,0,0,26,8,6,21,18,12,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00093,1,19,0,13,0,0,26,8,6,21,18,12,16,4,0,14,0,24,5,0,20,0,25,9,17,10,
9.00095,0,19,0,13,0,0,26,8,6,21,18,12,16,4,0,14,7,24,5,0,20,0,25,9,17,10,
9.00096,1,19,0,13,0,0,26,8,6,21,18,12,16,4,0,14,7,24,5,0,20,0,25,9,17,10,
9.00099,1,19,0,13,0,0,26,8,6,0,18,12,16,4,0,14,7,24,5,0,20,0,25,9,17,10,
9.00102,1,19,0,13,0,0,26,8,6,0,18,12,16,4,0,14,7,24,5,0,20,0,25,9,17,10,
9.00105,1,19,0,13,0,0,26,8,6,0,18,12,16,4,0,14,7,24,5,0,20,0,25,9,17,10,
9.00108,1,19,0,13,0,0,26,8,6,0,18,12,16,4,0,14,7,24,5,0,20,0,25,9,17,10,
9.00111,1,19,0,13,0,0,26,8,6,0,18,12,16,4,0,14,7,24,5,0,20,0,25,9,17,10,
9.00114,1,19,0,13,0,0,26,8,6,0,18,12,16,4,0,14,7,24,5,0,20,0,25,9,17,10,
9.00117,1,19,0,13,0,0,26,8,6,0,18,12,16,4,0,14,7,24,5,0,20,0,25,9,17,10,
9.0012,1,19,0,13,0,0,26,8,6,0,18,12,16,4,0,14,7,24,5,0,20,0,25,9,17,10,
9.00123,1,19,0,13,0,0,26,8,6,0,18,12,16,4,0,14,7,24,5,0,20,0,25,9,17,10,
9.00126,1,19,0,13,0,0,26,8,6,0,18,12,16,0,0,14,7,24,5,0,20,0,25,9,17,10,
9.00129,1,19,0,13,0,0,26,8,6,0,18,12,16,0,0,14,7,24,5,0,20,0,25,9,17,0,
9.00132,1,19,0,13,0,0,26,8,6,0,18,12,16,0,0,14,7,24,5,0,20,0,25,9,17,0,
9.00135,1,19,0,13,0,0,26,8,6,0,18,12,16,0,0,14,7,24,5,0,20,0,25,9,17,0,
9.00138,1,19,0,13,0,0,26,8,6,0,18,12,16,0,0,14,7,24,5,0,20,0,25,9,17,0,
9.0014,0,19,0,13,0,0,26,8,6,0,18,12,16,0,0,14,7,24,5,0,20,21,25,9,17,0,
9.00141,1,19,0,13,0,0,26,8,6,0,18,12,16,0,0,14,7,24,5,0,20,21,25,9,17,0,
9.00144,1,19,0,13,0,0,26,8,6,0,18,12,16,0,0,14,7,24,5,0,20,21,25,9,17,0,
9.00147,1,19,0,13,0,0,26,8,6,0,18,12,16,0,0,14,7,24,5,0,20,21,25,9,17,0,
9.0015,1,19,0,13,0,0,26,8,6,0,18,12,16,0,0,14,7,24,5,0,20,21,25,9,17,0,
9.00153,1,19,0,13,0,0,26,8,6,0,18,12,16,0,0,14,7,24,5,0,20,21,25,9,17,0,
9.00156,1,19,0,13,0,0,26,8,6,0,18,12,16,0,0,14,7,24,5,0,20,21,25,9,17,0,
9.00159,1,19,0,13,0,0,26,8,6,0,18,12,16,0,0,14,7,24,5,0,20,21,25,9,17,0,
9.00162,1,19,0,13,0,0,26,8,6,0,18,12,16,0,0,14,7,24,5,0,20,21,25,9,17,0,
9.00165,1,19,0,13,0,0,26,8,6,0,18,12,16,0,0,14,7,24,5,0,20,21,25,0,17,0,
9.00168,1,19,0,13,0,0,26,8,6,0,0,12,16,0,0,14,7,24,5,0,20,21,25,0,17,0,
9.00168,1,19,0,13,0,0,26,8,6,0,0,12,16,0,0,14,7,24,5,0,20,21,25,0,17,3,
9.00171,1,19,0,13,0,0,26,8,6,0,0,12,16,0,0,14,7,24,5,0,20,21,25,0,17,3,
9.00174,1,19,0,13,0,0,26,8,6,0,0,12,16,0,0,14,7,24,5,0,20,21,25,0,17,3,
9.00177,1,19,0,13,0,0,26,8,6,0,0,12,16,0,0,14,7,24,5,0,20,21,25,0,17,3,
9.0018,1,19,0,13,0,0,26,8,6,0,0,12,16,0,0,14,7,24,5,0,20,21,25,0,17,3,
9.00183,1,19,0,13,0,0,26,8,6,0,0,12,16,0,0,14,7,24,5,0,20,21,25,0,17,3,
9.00186,1,19,0,13,0,0,26,8,6,0,0,12,16,0,0,14,7,24,5,0,20,21,25,0,17,3,
9.00189,1,19,0,13,0,0,26,8,6,0,0,12,16,0,0,14,7,24,5,0,20,21,25,0,17,3,
9.00192,1,19,0,13,0,0,26,8,6,0,0,12,16,0,0,14,7,24,5,0,20,21,25,0,17,3,
9.00195,1,19,0,13,0,0,26,8,6,0,0,12,16,0,0,14,7,24,5,0,20,21,25,0,17,3,
9.00198,1,19,0,13,0,0,26,8,6,0,0,12,16,0,0,14,7,24,5,0,20,21,25,0,17,3,
9.00201,1,19,0,13,0,0,26,8,6,0,0,12,16,0,0,14,7,24,5,0,20,21,25,0,17,3,
9.00204,0,19,0,13,0,4,26,8,6,0,0,12,16,0,0,14,7,24,5,0,20,21,25,0,17,3,
9.00204,1,19,0,13,0,4,26,8,6,0,0,12,16,0,0,14,7,24,5,0,20,21,25,0,17,3,
9.00207,1,19,0,13,0,4,26,8,6,0,0,12,16,0,0,14,7,24,5,0,20,21,25,0,17,3,
9.0021,0,19,0,13,0,4,26,8,6,0,23,12,16,0,0,14,7,24,5,0,0,21,25,0,17,3,
9.0021,1,19,0,13,0,4,26,8,6,0,23,12,16,0,0,14,7,24,5,0,0,21,25,0,17,3,
9.00213,1,19,0,13,0,4,26,8,6,0,23,12,16,0,0,14,7,24,5,0,0,21,25,0,17,3,
9.00216,1,19,0,13,0,4,26,8,6,0,23,12,16,0,0,14,7,24,5,0,0,21,25,0,17,3,
9.00217,0,19,0,13,0,4,26,8,6,0,23,12,16,0,0,14,7,24,5,11,0,21,25,0,17,3,
9.00219,1,19,0,13,0,4,26,8,6,0,23,12,16,0,0,14,7,24,5,11,0,21,25,0,17,3,
9.00222,1,19,0,13,0,4,26,8,6,0,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00223,0,19,0,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00225,1,19,0,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00228,1,19,0,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00231,1,19,0,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00232,0,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00234,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00237,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.0024,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00243,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00246,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00249,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00252,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00255,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00258,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00261,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00264,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00267,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.0027,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00273,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00276,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00279,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00282,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00285,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00288,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00291,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00294,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00297,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.003,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00303,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00306,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00309,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00312,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00315,1,19,15,13,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00318,1,19,15,0,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00321,1,19,15,0,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00324,1,19,15,0,0,4,26,8,6,18,23,12,16,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00327,1,19,15,0,0,4,26,8,6,18,23,12,0,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.0033,1,19,15,0,0,4,26,8,6,18,23,12,0,0,0,14,7,24,0,11,0,21,25,0,17,3,
9.00333,1,19,15,0,0,4,26,8,6,18,23,12,0,0,0,14,7,24,0,11,0,21,25,0,0,3,
9.00336,0,19,15,0,0,4,26,8,6,18,23,12,0,0,0,14,7,24,9,11,0,21,25,0,0,3,
9.00336,1,19,15,0,0,4,26,8,6,18,23,12,0,0,0,14,7,24,9,11,0,21,25,0,0,3,
9.00339,1,19,15,0,0,4,26,8,6,18,23,12,0,0,0,14,7,24,9,11,0,21,25,0,0,3,
9.00342,1,19,15,0,0,4,26,8,6,18,23,12,0,0,0,14,7,24,9,11,0,21,25,0,0,3,
9.00345,1,19,15,0,0,4,26,8,6,18,23,12,0,0,0,14,7,24,9,11,0,21,25,0,0,3,
9.00348,1,19,15,0,0,4,26,0,6,18,23,12,0,0,0,14,7,24,9,11,0,21,25,0,0,3,
9.00351,1,19,15,0,0,4,26,0,6,18,23,12,0,0,0,14,7,24,9,11,0,21,25,0,0,3,
9.00354,1,19,15,0,0,4,26,0,6,18,23,12,0,0,0,14,7,24,9,11,0,21,25,0,0,3,
9.00357,1,19,15,0,0,4,26,0,6,18,23,12,0,0,0,14,7,24,9,11,0,21,25,0,0,3,
